"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
32.96.5.ca.1,32.96.5.21,X694,32F5,,,,32,96,5,"[4, 4]",4,2,[-7],"[[2, 48]]",False,True,True,"[[1, 4], [1, 1]]",2,1,False,"[[7, 16, 30, 5], [7, 20, 24, 7], [7, 31, 28, 9], [9, 0, 22, 31]]"
36.108.5.y.1,36.108.5.1,,36J5,,,,36,108,5,"[3, 4]",3,0,"[-4, -19, -43, -67, -163]","[[2, 20], [3, 20]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,False,"[[3, 32, 20, 15], [21, 34, 35, 27], [31, 21, 0, 5], [35, 34, 13, 1]]"
40.80.5.f.1,40.80.5.9,,20B5,,,,40,80,5,"[4, 4]",4,0,[],"[[2, 26], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,True,"[[9, 24, 25, 11], [14, 37, 3, 11], [32, 23, 17, 39], [38, 1, 19, 27]]"
40.80.5.i.1,40.80.5.3,,40D5,,,,40,80,5,"[3, 5]",2,0,"[-3, -11, -19]","[[2, 28], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,False,"[[6, 15, 23, 34], [13, 28, 3, 27], [21, 2, 26, 11], [28, 5, 9, 27]]"
42.84.5.f.1,42.84.5.9,,14B5,,,,42,84,5,"[4, 4]",6,0,[],"[[2, 8], [3, 8], [7, 10]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[4, 21, 3, 38], [11, 40, 19, 3], [30, 17, 31, 13]]"
42.112.5.f.1,42.112.5.5,,14E5,,,,42,112,5,"[4, 4]",8,0,"[-3, -27]","[[2, 8], [3, 8], [7, 10]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,False,"[[0, 5, 19, 11], [7, 20, 15, 35], [17, 1, 14, 11], [41, 1, 22, 15]]"
42.126.5.h.1,42.126.5.2,,42H5,,,,42,126,5,"[4, 4]",3,0,"[-4, -43, -67, -163]","[[2, 8], [3, 10], [7, 10]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,False,"[[13, 28, 14, 13], [13, 36, 3, 35], [14, 39, 9, 35], [41, 11, 26, 31]]"
45.90.5.a.1,45.90.5.1,,45E5,,,,45,90,5,"[3, 5]",2,0,[-8],"[[3, 18], [5, 10]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,False,"[[20, 24, 37, 40], [34, 16, 37, 41], [38, 11, 44, 12], [44, 25, 30, 19]]"
48.96.5.pq.1,48.96.5.250,,16E5,,,,48,96,5,"[4, 4]",8,0,[],"[[2, 38], [3, 8]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[25, 18, 8, 13], [29, 8, 22, 11], [33, 46, 16, 45], [39, 5, 32, 13]]"
48.96.5.qn.1,48.96.5.286,,16E5,,,,48,96,5,"[4, 4]",8,0,[-12],"[[2, 38], [3, 8]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,False,"[[5, 33, 36, 19], [31, 9, 36, 29], [39, 37, 46, 25], [45, 37, 26, 11]]"
